file_length,key_length,key_gen_time,encrypt_time,decrypt_time,total_time
10000,256,0.001,0.25,0.32,1.25
20000,256,0.001,0.59,0.61,2.25
30000,256,0.001,0.75,0.98,3.42
50000,256,0.001,1.08,1.21,4.57
100000,256,0.001,2.67,2.91,9.06
1000000,256,0.001,23.05,27.22,78.08
2000000,256,0.001,45.87,51.5,147.98
3000000,256,0.001,66.77,81.2,239.89
5000000,256,0.001,116.67,133.67,390.85
10000,128,0.001,0.17,0.27,1.22
20000,128,0.001,0.35,0.54,2.21
30000,128,0.001,0.54,0.81,3.02
50000,128,0.001,0.92,1.36,4.78
100000,128,0.001,1.77,2.25,7.48
1000000,128,0.001,18.86,20.77,60.86
2000000,128,0.001,36.62,43.71,138.61
3000000,128,0.001,55.21,60.45,192.91
5000000,128,0.001,94.44,110.73,346.71
